                                                Tanggal,Nama_Barang,Kategori,Harga_Satuan,Jumlah_Terjual,Ada_Promosi,Hari_Libur
2022-01-01,Bayam,Sayuran,5000,39,0,1
2022-01-02,Bayam,Sayuran,5000,27,0,0
2022-01-03,Bayam,Sayuran,5000,24,0,0
2022-01-04,Bayam,Sayuran,5000,26,0,0
2022-01-05,Bayam,Sayuran,5000,21,0,0
2022-01-06,Bayam,Sayuran,5000,23,0,0
2022-01-07,Bayam,Sayuran,5000,25,0,0
2022-01-08,Bayam,Sayuran,5000,33,0,0
2022-01-09,Bayam,Sayuran,5000,34,0,0
2022-01-10,Bayam,Sayuran,5000,25,0,0
2022-01-11,Bayam,Sayuran,5000,26,0,0
2022-01-12,Bayam,Sayuran,5000,22,0,0
2022-01-13,Bayam,Sayuran,5000,29,0,0
2022-01-14,Bayam,Sayuran,5000,27,0,0
2022-01-15,Bayam,Sayuran,4500,49,1,0
2022-01-16,Bayam,Sayuran,4500,49,1,0
2022-01-17,Bayam,Sayuran,4500,44,1,0
2022-01-18,Bayam,Sayuran,5000,31,0,0
2022-01-19,Bayam,Sayuran,5000,27,0,0
2022-01-20,Bayam,Sayuran,5000,27,0,0
2022-01-21,Bayam,Sayuran,5000,25,0,0
2022-01-22,Bayam,Sayuran,5000,31,0,0
2022-01-23,Bayam,Sayuran,5000,26,0,0
2022-01-24,Bayam,Sayuran,5000,20,0,0
2022-01-25,Bayam,Sayuran,5000,25,0,0
2022-01-26,Bayam,Sayuran,5000,25,0,0
2022-01-27,Bayam,Sayuran,5000,26,0,0
2022-01-28,Bayam,Sayuran,5000,29,0,0
2022-01-29,Bayam,Sayuran,5000,40,0,0
2022-01-30,Bayam,Sayuran,5000,34,0,0
2022-01-31,Bayam,Sayuran,5000,29,0,0
2022-02-01,Bayam,Sayuran,5000,15,0,0
2022-02-02,Bayam,Sayuran,5000,25,0,0
2022-02-03,Bayam,Sayuran,5000,27,0,0
2022-02-04,Bayam,Sayuran,5000,30,0,0
2022-02-05,Bayam,Sayuran,5000,26,0,0
2022-02-06,Bayam,Sayuran,5000,39,0,0
2022-02-07,Bayam,Sayuran,5000,25,0,0
2022-02-08,Bayam,Sayuran,5000,29,0,0
2022-02-09,Bayam,Sayuran,5000,22,0,0
2022-02-10,Bayam,Sayuran,5000,26,0,0
2022-02-11,Bayam,Sayuran,5000,27,0,0
2022-02-12,Bayam,Sayuran,5000,29,0,0
2022-02-13,Bayam,Sayuran,5000,33,0,0
2022-02-14,Bayam,Sayuran,5000,22,0,0
2022-02-15,Bayam,Sayuran,5000,21,0,0
2022-02-16,Bayam,Sayuran,5000,26,0,0
2022-02-17,Bayam,Sayuran,4500,32,1,0
2022-02-18,Bayam,Sayuran,4500,34,1,0
2022-02-19,Bayam,Sayuran,4500,50,1,0
2022-02-20,Bayam,Sayuran,5000,35,0,0
2022-02-21,Bayam,Sayuran,5000,23,0,0
2022-02-22,Bayam,Sayuran,5000,27,0,0
2022-02-23,Bayam,Sayuran,5000,25,0,0
2022-02-24,Bayam,Sayuran,5000,19,0,0
2022-02-25,Bayam,Sayuran,5000,26,0,0
2022-02-26,Bayam,Sayuran,5000,34,0,0
2022-02-27,Bayam,Sayuran,5000,27,0,0
2022-02-28,Bayam,Sayuran,5000,23,0,0
2022-03-01,Bayam,Sayuran,5000,24,0,0
2022-03-02,Bayam,Sayuran,5000,23,0,0
2022-03-03,Bayam,Sayuran,5000,19,0,0
2022-03-04,Bayam,Sayuran,5000,27,0,0
2022-03-05,Bayam,Sayuran,5000,22,0,0
2022-03-06,Bayam,Sayuran,5000,23,0,0
2022-03-07,Bayam,Sayuran,5000,29,0,0
2022-03-08,Bayam,Sayuran,5000,30,0,0
2022-03-09,Bayam,Sayuran,5000,19,0,0
2022-03-10,Bayam,Sayuran,5000,25,0,0
2022-03-11,Bayam,Sayuran,5000,25,0,0
2022-03-12,Bayam,Sayuran,5000,28,0,0
2022-03-13,Bayam,Sayuran,5000,22,0,0
2022-03-14,Bayam,Sayuran,5000,23,0,0
2022-03-15,Bayam,Sayuran,5000,24,0,0
2022-03-16,Bayam,Sayuran,5000,21,0,0
2022-03-17,Bayam,Sayuran,5000,17,0,0
2022-03-18,Bayam,Sayuran,5000,21,0,0
2022-03-19,Bayam,Sayuran,5000,27,0,0
2022-03-20,Bayam,Sayuran,5000,35,0,0
2022-03-21,Bayam,Sayuran,5000,20,0,0
2022-03-22,Bayam,Sayuran,4500,39,1,0
2022-03-23,Bayam,Sayuran,4500,34,1,0
2022-03-24,Bayam,Sayuran,4500,28,1,0
2022-03-25,Bayam,Sayuran,5000,31,0,0
2022-03-26,Bayam,Sayuran,5000,18,0,0
2022-03-27,Bayam,Sayuran,5000,34,0,0
2022-03-28,Bayam,Sayuran,5000,19,0,0
2022-03-29,Bayam,Sayuran,5000,16,0,0
2022-03-30,Bayam,Sayuran,5000,23,0,0
2022-03-31,Bayam,Sayuran,5000,22,0,0
2022-04-01,Bayam,Sayuran,5000,16,0,0
2022-04-02,Bayam,Sayuran,5000,24,0,0
2022-04-03,Bayam,Sayuran,5000,21,0,0
2022-04-04,Bayam,Sayuran,5000,19,0,0
2022-04-05,Bayam,Sayuran,5000,26,0,0
2022-04-06,Bayam,Sayuran,5000,21,0,0
2022-04-07,Bayam,Sayuran,5000,21,0,0
2022-04-08,Bayam,Sayuran,5000,25,0,0
2022-04-09,Bayam,Sayuran,5000,33,0,0
2022-04-10,Bayam,Sayuran,5000,26,0,0
2022-04-11,Bayam,Sayuran,5000,19,0,0
2022-04-12,Bayam,Sayuran,5000,18,0,0
2022-04-13,Bayam,Sayuran,5000,19,0,0
2022-04-14,Bayam,Sayuran,5000,17,0,0
2022-04-15,Bayam,Sayuran,5000,17,0,0
2022-04-16,Bayam,Sayuran,5000,17,0,0
2022-04-17,Bayam,Sayuran,5000,23,0,0
2022-04-18,Bayam,Sayuran,5000,19,0,0
2022-04-19,Bayam,Sayuran,5000,19,0,0
2022-04-20,Bayam,Sayuran,5000,15,0,0
2022-04-21,Bayam,Sayuran,5000,15,0,0
2022-04-22,Bayam,Sayuran,5000,19,0,0
2022-04-23,Bayam,Sayuran,5000,24,0,0
2022-04-24,Bayam,Sayuran,4500,37,1,0
2022-04-25,Bayam,Sayuran,4500,32,1,0
2022-04-26,Bayam,Sayuran,4500,28,1,0
2022-04-27,Bayam,Sayuran,5000,19,0,0
2022-04-28,Bayam,Sayuran,5000,23,0,0
2022-04-29,Bayam,Sayuran,5000,22,0,0
2022-04-30,Bayam,Sayuran,5000,25,0,0
2022-05-01,Bayam,Sayuran,5000,18,0,0
2022-05-02,Bayam,Sayuran,5000,21,0,1
2022-05-03,Bayam,Sayuran,5000,13,0,1
2022-05-04,Bayam,Sayuran,5000,23,0,0
2022-05-05,Bayam,Sayuran,5000,16,0,0
2022-05-06,Bayam,Sayuran,5000,15,0,0
2022-05-07,Bayam,Sayuran,5000,23,0,0
2022-05-08,Bayam,Sayuran,5000,18,0,0
2022-05-09,Bayam,Sayuran,5000,15,0,0
2022-05-10,Bayam,Sayuran,5000,18,0,0
2022-05-11,Bayam,Sayuran,5000,19,0,0
2022-05-12,Bayam,Sayuran,5000,13,0,0
2022-05-13,Bayam,Sayuran,5000,17,0,0
2022-05-14,Bayam,Sayuran,5000,16,0,0
2022-05-15,Bayam,Sayuran,5000,23,0,0
2022-05-16,Bayam,Sayuran,5000,16,0,0
2022-05-17,Bayam,Sayuran,5000,19,0,0
