Tanggal,Nama_Barang,Kategori,Harga_Satuan,Jumlah_Terjual,Ada_Promosi,Hari_Libur
2022-01-01,Bayam,Sayuran,5133,19,0,1
2022-01-02,Bayam,Sayuran,4977,17,0,0
2022-01-03,Bayam,Sayuran,5096,15,0,0
2022-01-04,Bayam,Sayuran,5034,16,0,0
2022-01-05,Bayam,Sayuran,4976,17,0,0
2022-01-06,Bayam,Sayuran,4870,16,0,0
2022-01-07,Bayam,Sayuran,5053,14,0,0
2022-01-08,Bayam,Sayuran,4846,22,0,0
2022-01-09,Bayam,Sayuran,5084,18,0,0
2022-01-10,Bayam,Sayuran,5074,11,0,0
2022-01-11,Bayam,Sayuran,4904,19,0,0
2022-01-12,Bayam,Sayuran,4992,18,0,0
2022-01-13,Bayam,Sayuran,4894,17,0,0
2022-01-14,Bayam,Sayuran,5120,14,0,0
2022-01-15,Bayam,Sayuran,5075,21,0,0
2022-01-16,Bayam,Sayuran,5006,21,0,0
2022-01-17,Bayam,Sayuran,4903,13,0,0
2022-01-18,Bayam,Sayuran,5074,16,0,0
2022-01-19,Bayam,Sayuran,5023,21,0,0
2022-01-20,Bayam,Sayuran,4961,16,0,0
2022-01-21,Bayam,Sayuran,4393,27,1,0
2022-01-22,Bayam,Sayuran,4488,13,1,0
2022-01-23,Bayam,Sayuran,4541,39,1,0
2022-01-24,Bayam,Sayuran,5061,17,0,0
2022-01-25,Bayam,Sayuran,4911,10,0,0
2022-01-26,Bayam,Sayuran,4922,15,0,0
2022-01-27,Bayam,Sayuran,5130,12,0,0
2022-01-28,Bayam,Sayuran,4924,12,0,0
2022-01-29,Bayam,Sayuran,4936,21,0,0
2022-01-30,Bayam,Sayuran,5086,14,0,0
2022-01-31,Bayam,Sayuran,4995,16,0,0
2022-02-01,Bayam,Sayuran,5092,17,0,0
2022-02-02,Bayam,Sayuran,5047,18,0,0
2022-02-03,Bayam,Sayuran,5060,20,0,0
2022-02-04,Bayam,Sayuran,4947,19,0,0
2022-02-05,Bayam,Sayuran,5024,16,0,0
2022-02-06,Bayam,Sayuran,5037,21,0,0
2022-02-07,Bayam,Sayuran,4922,18,0,0
2022-02-08,Bayam,Sayuran,5078,19,0,0
2022-02-09,Bayam,Sayuran,4943,14,0,0
2022-02-10,Bayam,Sayuran,4921,20,0,0
